pH,T,DO,DO_Sat,TotAlk_CaCO3,EC_uS,P-PO4,TN
8.27,10.7,6.3,96.47,108.8,293,0.01,0.563
8.3,10.7,5.95,95.13,111.7,288,0.014,0.552
8.31,10.7,8.3,95.13,110.4,309,0.026,0.515
8.3,10.7,8.25,93.98,112.3,284,0.011,0.481
8.29,10.7,8.25,93.8,110,283,0.005,0.987
8.21,15.5,8.15,93.8,112.3,289,0.004,0.571
8.28,15.5,8.15,94.37,110,289,0.004,0.506
8.34,15.5,8.15,94.37,110.6,292,0.004,0.654
8.165,15.5,8.2,114.94,121.9,311,0.005,0.875
8.02,15.5,8.2,104.27,126.7,315,0.006,0.771
7.93,15.3,10.3,84.85,127.4,313,0.01,0.69
7.79,15.3,10.15,80.1,127.4,318,0.008,0.805
7.783,15.3,8.6,53.53,126.1,318,0.011,0.7053
7.773,15.2,8.3,42.9,127,320,0.015,0.859
7.76,15.2,5.65,48.17,130.2,320,0.009,0.882
7.8,15.1,4.6,43.86,127.5,320,0.012,0.806
8.34,14.1,5.2,96.26,117.3,276,0.012,0.708
8.31,14,4.8,97.39,117.3,272,0.012,0.794
8.32,13.5,9.35,96.15,112.5,272,0.008,0.879
8.34,13.8,9.5,96.36,118.2,272,0.014,0.546
8.31,13.2,9.4,96.36,117.5,271,0.021,0.903
8.32,13,9.4,94.72,117.3,272,0.024,0.655
8.32,12.5,9.4,94.93,116.3,272,0.012,0.833
8.34,12.3,9.3,91.67,117.3,272,0.008,0.883
8.3,12.2,9.3,90.65,115.4,283,0.01,0.855
8.25,12,9,89.63,117.3,291,0.009,0.876
8,11.7,8.9,86.39,119.2,281,0,0.533
7.85,11.3,8.8,64.51,127.7,282,0,0.504
7.837,11.2,8.5,51.64,129.6,282,0,0.4277
7.763,11.2,6.7,43.14,130.5,283,0,0.3277
7.63,11.2,5.5,37.92,130.5,284,0,0.373
7.64,10.9,4.7,33.65,132.4,284,0,1.12
8.22,10.9,4.15,86.86,123,249,0,0.402
8.28,10.9,3.7,93.7,120.1,245,0,0.436
8.3,10.9,8.9,89.79,128,248,0.001,0.463
8.28,10.9,9.6,88.33,119.2,248,0.002,0.657
8.29,10.9,9.2,85.89,121.1,248,0.005,0.351
8.3,10.8,9.05,84.91,119.2,249,0.009,0.764
8.3,10.8,8.8,83.76,121.1,249,0.012,0.599
8.31,10.8,8.7,83.76,120.1,251,0.015,0.47
8.28,10.8,8.6,83.58,122,249,0.017,0.462
8.25,10.8,8.6,81.63,119.2,251,0.02,0.442
8.15,10.8,8.6,81.63,119.2,250,0.004,0.512
7.88,10.8,8.4,78.59,121.1,268,0.0035,0.375
7.74,10.8,8.4,77.17,121.1,268,0.0015,0.4303
7.653,10.8,8.2,75.61,117.6,268,0.0035,0.7137
7.62,25.1,8.2,74.75,110.7,270,0.002,0.398
7.6,24.7,8.2,74.41,135.5,272,0.005,0.413
7.94,24.5,8.2,93.09,248.6,239,0.0015,0.579
8.09,24.3,8.2,91.09,237.9,238,0.001,0.481
8.08,24,10.5,89.99,290.5,240,0.0018,0.441
7.99,23.9,10.3,89.11,256.5,230,0.0018,0.42
8.07,23.6,10.2,88.02,266.9,240,0.0024,0.957
8.08,23.5,10.1,86.73,265.2,240,0.0075,0.805
8,23.2,10,87.17,266.5,241,0.009,0.518
8,21.7,9.9,84.78,260.8,241,0.01,0.446
8,20.7,9.95,81.96,270.1,242,0.011,0.406
8,19.5,9.7,79.34,264.8,242,0.018,0.361
8.06,18.5,9.4,77.42,269.3,244,0.002,0.351
7.96,17.1,9.1,74.81,264.5,239,0.002,0.317
8,15.8,8.9,71.33,263,240,0.0035,0.32233
7.907,14.9,8.6,69.59,261.9,250,0.002,0.90933
7.68,14.3,8.2,69.43,261.5,265,0.003,0.392
7.55,14,8,49.43,261.5,265,0.002,1.062
7.8,13.7,8,93.03,272.4,228,0.002,0.512
7.82,13.3,8,91.91,222.5,228,0.005,0.359
7.87,13,10.3,91.27,276.9,228,0.0025,0.351
7.86,12.8,10.2,89.51,279.2,225,0.003,0.421
7.87,12.6,10.2,88.41,274.7,230,0.0075,0.392
7.81,12.5,10.05,87.52,279.2,229,0.009,0.8915
7.85,12.3,9.95,86.88,274.7,230,0.008,1.168
7.85,12.2,9.85,85.99,283.8,230,0.01,1.1425
7.83,11.9,9.8,85.11,275.8,230,0.012,0.806
7.88,11.9,9.7,84.46,295.1,230,0.012,0.426
7.82,11.6,9.6,83.58,274.7,230,0.001,0.323
7.9,11.3,9.55,82.69,276.9,228,0.001,0.323
7.887,11.1,9.45,82.69,275.4,227,0.001,0.4647
7.887,11,9.35,81.81,275.4,227,0.002,0.4483
7.9,11,9.35,81.81,276.9,225,0.004,0.47
7.85,11,9.25,81.1,267.9,225,0.001,0.269
